resturant_name,categories,address,station_name,distance
Pizzeria Alle Scalette,Pizzeria,Viale Curtatone 18,Curtatone,22
Grom,"Ice Cream Parlor, Restaurant",13 Via Banchi di Sopra 11,Curtatone,367
Osteria L'Osteria,Italian Restaurant,Via dei Rossi 79,Curtatone,342
Il Masgalano,"Café, Gelato Shop",Via Camporegio 1,Curtatone,156
Ristorante San Domenico,Restaurant,Via Camporegio 17,Curtatone,170
Nannini,"Bakery, Café, Dessert Shop",Via Banchi di Sopra 24,Curtatone,356
La Vecchia Latteria,"Ice Cream Parlor, Vegan and Vegetarian Restaurant",Via San Pietro 10,Curtatone,618
Pasticceria Corsini Siena,"Bakery, Café, Restaurant",Viale A. Diaz,Curtatone,391
Osteria Il Vinaio,"Deli, Tuscan Restaurant",Via Camollia 167,Curtatone,561
Morbidi,Deli,Via B. di Sopra 73,Curtatone,248
La Taverna di San Giuseppe,"Tuscan Restaurant, Mediterranean Restaurant",Via Giovanni Duprè 132,S. Agostino,109
La Vecchia Latteria,"Ice Cream Parlor, Vegan and Vegetarian Restaurant",Via San Pietro 10,S. Agostino,205
Grom,"Ice Cream Parlor, Restaurant",13 Via Banchi di Sopra 11,S. Agostino,535
La Prosciutteria,"Bar, Italian Restaurant, Tapas Restaurant",Via di Pantaneto 89,S. Agostino,507
Osteria Il Ghibellino,"Diner, Italian Restaurant, Mediterranean Restaurant",Via dei Pellegrini 26,S. Agostino,430
Nannini,"Bakery, Café, Dessert Shop",Via Banchi di Sopra 24,S. Agostino,555
Osteria L'Osteria,Italian Restaurant,Via dei Rossi 79,S. Agostino,796
La Bottega Del Caffè,"Bar, Café, Restaurant",Via Banchi di Sotto 39,S. Agostino,520
Trattoria Papei,Trattoria,Piazza del Mercato 6,S. Agostino,308
4 Cantoni Bar Caffetteria,Café,Piazza Postierla 5,S. Agostino,221
La Prosciutteria,"Bar, Italian Restaurant, Tapas Restaurant",Via di Pantaneto 89,S. Girolamo,223
La Taverna di San Giuseppe,"Tuscan Restaurant, Mediterranean Restaurant",Via Giovanni Duprè 132,S. Girolamo,458
Gino Cacino,Food and Beverage Retail,Piazza del Mercato 31,S. Girolamo,399
La Vecchia Latteria,"Ice Cream Parlor, Vegan and Vegetarian Restaurant",Via San Pietro 10,S. Girolamo,590
Grom,"Ice Cream Parlor, Restaurant",13 Via Banchi di Sopra 11,S. Girolamo,572
Meet Life Cafè,"Café, Coffee Shop, Restaurant",Via Pantaneto 90,S. Girolamo,177
Osteria L'Osteria,Italian Restaurant,Via dei Rossi 79,S. Girolamo,699
Nannini,"Bakery, Café, Dessert Shop",Via Banchi di Sopra 24,S. Girolamo,580
La Bottega Del Caffè,"Bar, Café, Restaurant",Via Banchi di Sotto 39,S. Girolamo,473
Osteria Il Ghibellino,"Diner, Italian Restaurant, Mediterranean Restaurant",Via dei Pellegrini 26,S. Girolamo,645
Grom,"Ice Cream Parlor, Restaurant",13 Via Banchi di Sopra 11,Fortezza,665
La Vecchia Latteria,"Ice Cream Parlor, Vegan and Vegetarian Restaurant",Via San Pietro 10,Fortezza,722
Osteria del Buon Governo,"Diner, Trattoria",Viale Vittorio Veneto 29,Fortezza,233
Pasticceria Corsini Siena,"Bakery, Café, Restaurant",Viale A. Diaz,Fortezza,515
Il Masgalano,"Café, Gelato Shop",Via Camporegio 1,Fortezza,317
Osteria Il Vinaio,"Deli, Tuscan Restaurant",Via Camollia 167,Fortezza,705
La Taverna di San Giuseppe,"Tuscan Restaurant, Mediterranean Restaurant",Via Giovanni Duprè 132,Fortezza,897
Osteria L'Osteria,Italian Restaurant,Via dei Rossi 79,Fortezza,735
Pizzeria Alle Scalette,Pizzeria,Viale Curtatone 18,Fortezza,418
Ristorante San Domenico,Restaurant,Via Camporegio 17,Fortezza,406
Osteria Il Vinaio,"Deli, Tuscan Restaurant",Via Camollia 167,Antiporto,443
Turkish Pace Kebap,Turkish Restaurant,Viale Vittorio Emanuele II 21,Antiporto,237
Pasticceria Corsini Siena,"Bakery, Café, Restaurant",Viale A. Diaz,Antiporto,565
Trattoria Fonte Giusta,"Trattoria, Tuscan Restaurant",Via Camollia 102,Antiporto,564
L'oro di Siena di Luppoli Marcellino & C. SNC,"Pizzeria, Italian Restaurant",Via Giuseppe Garibaldi 61,Antiporto,894
Osteria del Buon Governo,"Diner, Trattoria",Viale Vittorio Veneto 29,Antiporto,794
Pizzeria Alle Scalette,Pizzeria,Viale Curtatone 18,Antiporto,972
Antico Bar La Lizza,"Bar, Café, Restaurant",Piazza Antonio Gramsci 10,Antiporto,831
Tia Loca,Pizzeria,Via Ricasoli 55,Antiporto,284
Sushi Bar,"Trattoria, Japanese Restaurant",Via Domenico Beccafumi 10,Antiporto,974
Pasticceria Nocino,Café,Via Aretina 13,Due Ponti,886
Burger King,"Burger Joint, Fast Food Restaurant",Viale Toselli 118,Due Ponti,66
Donna Ripalta,"BBQ Joint, Italian Restaurant",Viale Pietro Toselli 41,Due Ponti,109
Festival Snack Bar,Dining and Drinking,Viale Pietro Toselli 120,Due Ponti,150
Penny Market,"Dining and Drinking, Grocery Store",Via Toselli 11,Due Ponti,152
Tabaccheria Due Ponti,Tobacco Store,Strada Statale 73 Levante 1,Due Ponti,181
Pasticceria Dolceria 2 Ponti,Pastry Shop,Sts 73 Levante 17,Due Ponti,225
Dolce & Salato,Breakfast Spot,viale Europa 2,Due Ponti,592
Bar Dell'Artigiano,"Bar, Café, Restaurant",Viale del Artigianato 13,Due Ponti,814
Panifucio Castagna,Bakery,Via Aretina,Due Ponti,878
Pasticceria Sinatti,"Dessert Shop, Restaurant",Via Fiorentina 99,Napoli,119
Al Fiumino,"Wine Bar, Buffet, Gastropub",Via Giovanni Paolo II,Napoli,364
Fontebecci,"Pizzeria, Italian Restaurant",Via Fiorentina 133,Napoli,64
La Veranda,Pizzeria,Piazza Calabria 20,Napoli,601
Pasticceria Pierini,"Bakery, Cupcake Shop, Pastry Shop",Via Quinto Settano 5,Napoli,757
Ristorante Il Mestolo,"Italian Restaurant, Seafood Restaurant",Via Fiorentina 81,Napoli,226
Pizzeria Poppi,Pizzeria,Via Fiorentina 105,Napoli,101
Pizzeria La Fenice Siena,Pizzeria,Via Fiorentina 88,Napoli,160
Bar Acquacalda,"Bar, Café, Restaurant",Via delle Province 14,Napoli,298
McDonald's,"Burger Joint, Fast Food Restaurant",Via Fiorentina 122,Napoli,119
Pasticceria Scacciapensieri,"Bar, Coffee Shop, Tea Room",Via Nazareno Orlandi 8,Ospedale,563
Mensa San Miniato Ristorante,Restaurant,Via de Nicola 9,Ospedale,206
Il Palio Restaurant,Restaurant,Via A. Lombardi 41 Four Points by Sheraton,Ospedale,327
La Pizzeria di San Miniato,Pizzeria,Piazza Palmiro Togliatti 2,Ospedale,523
Ristorante Colleverde,Pizzeria,Strada di Scacciapensieri 47,Ospedale,770
Pizzeria Ristorante Camping Colleverde,Pizzeria,Strada di Scacciapensieri 47,Ospedale,783
Pizzeria Scacciapensieri,Pizzeria,Via Nazareno Orlandi 21,Ospedale,508
Pasticceria Sinatti,"Dessert Shop, Restaurant",Via Fiorentina 99,Acquacalda,590
Al Fiumino,"Wine Bar, Buffet, Gastropub",Via Giovanni Paolo II,Acquacalda,711
Fontebecci,"Pizzeria, Italian Restaurant",Via Fiorentina 133,Acquacalda,668
Pasticceria Pierini,"Bakery, Cupcake Shop, Pastry Shop",Via Quinto Settano 5,Acquacalda,593
Pizzeria La Strana Coppia,Pizzeria,Via Celso Cittadini 6,Acquacalda,146
Bar Giglio,"Bar, Café, Restaurant",Via Colombini 32,Acquacalda,163
Ristorante Il Mestolo,"Italian Restaurant, Seafood Restaurant",Via Fiorentina 81,Acquacalda,502
Bar Acquacalda,"Bar, Café, Restaurant",Via delle Province 14,Acquacalda,372
Bar Le Terrazze,"Café, Restaurant",Via Quinto Settano 19,Acquacalda,534
Pizzeria La Fenice Siena,Pizzeria,Via Fiorentina 88,Acquacalda,544
Osteria L'Osteria,Italian Restaurant,Via dei Rossi 79,Ravacciano,590
Grom,"Ice Cream Parlor, Restaurant",13 Via Banchi di Sopra 11,Ravacciano,785
La Prosciutteria,"Bar, Italian Restaurant, Tapas Restaurant",Via di Pantaneto 89,Ravacciano,712
L'oro di Siena di Luppoli Marcellino & C. SNC,"Pizzeria, Italian Restaurant",Via Giuseppe Garibaldi 61,Ravacciano,621
Gino Cacino,Food and Beverage Retail,Piazza del Mercato 31,Ravacciano,865
Nannini,"Bakery, Café, Dessert Shop",Via Banchi di Sopra 24,Ravacciano,770
Osteria Le Sorelline,Restaurant,Via dei Rossi 76,Ravacciano,552
La Bottega Del Caffè,"Bar, Café, Restaurant",Via Banchi di Sotto 39,Ravacciano,730
Morbidi,Deli,Via B. di Sopra 73,Ravacciano,735
Osteria Il Ghibellino,"Diner, Italian Restaurant, Mediterranean Restaurant",Via dei Pellegrini 26,Ravacciano,968
La Pizzeria di San Miniato,Pizzeria,Piazza Palmiro Togliatti 2,S. Miniato,26
Mensa San Miniato Ristorante,Restaurant,Via de Nicola 9,S. Miniato,536
Il Palio Restaurant,Restaurant,Via A. Lombardi 41 Four Points by Sheraton,S. Miniato,833
Osteria Il Vinaio,"Deli, Tuscan Restaurant",Via Camollia 167,Terminal Bus,664
Turkish Pace Kebap,Turkish Restaurant,Viale Vittorio Emanuele II 21,Terminal Bus,487
Osteria di Kamollia,"Trattoria, Tuscan Restaurant",Via Camollia 114,Terminal Bus,765
Pasticceria Corsini Siena,"Bakery, Café, Restaurant",Viale A. Diaz,Terminal Bus,846
Trattoria Fonte Giusta,"Trattoria, Tuscan Restaurant",Via Camollia 102,Terminal Bus,779
Pasticceria Scacciapensieri,"Bar, Coffee Shop, Tea Room",Via Nazareno Orlandi 8,Terminal Bus,728
Sushiko,Sushi Restaurant,Piazzale Carlo Rosselli 25,Terminal Bus,211
Osteria La Piana,Trattoria,Via Camollia 122,Terminal Bus,719
Tia Loca,Pizzeria,Via Ricasoli 55,Terminal Bus,611
Caffè Pasticceria Berta,"Café, Restaurant",Via Malta 42,Terminal Bus,549
Al Fiumino,"Wine Bar, Buffet, Gastropub",Via Giovanni Paolo II,Vico Alto,331
Pasticceria Sinatti,"Dessert Shop, Restaurant",Via Fiorentina 99,Vico Alto,522
La Veranda,Pizzeria,Piazza Calabria 20,Vico Alto,49
Fontebecci,"Pizzeria, Italian Restaurant",Via Fiorentina 133,Vico Alto,532
Pasticceria Pierini,"Bakery, Cupcake Shop, Pastry Shop",Via Quinto Settano 5,Vico Alto,773
Ristorante Il Mestolo,"Italian Restaurant, Seafood Restaurant",Via Fiorentina 81,Vico Alto,556
Pizzeria Poppi,Pizzeria,Via Fiorentina 105,Vico Alto,519
Pizzeria La Fenice Siena,Pizzeria,Via Fiorentina 88,Vico Alto,541
Bar Le Terrazze,"Café, Restaurant",Via Quinto Settano 19,Vico Alto,750
Ristorante Pizzeria Il Jolly,"Pizzeria, Italian Restaurant",Via Fiorentina 13,Vico Alto,782
L'oro di Siena di Luppoli Marcellino & C. SNC,"Pizzeria, Italian Restaurant",Via Giuseppe Garibaldi 61,Casa dell'Ambiente,295
Osteria L'Osteria,Italian Restaurant,Via dei Rossi 79,Casa dell'Ambiente,579
Osteria Il Vinaio,"Deli, Tuscan Restaurant",Via Camollia 167,Casa dell'Ambiente,607
Grom,"Ice Cream Parlor, Restaurant",13 Via Banchi di Sopra 11,Casa dell'Ambiente,844
Trattoria Fonte Giusta,"Trattoria, Tuscan Restaurant",Via Camollia 102,Casa dell'Ambiente,545
Pasticceria Corsini Siena,"Bakery, Café, Restaurant",Viale A. Diaz,Casa dell'Ambiente,675
Nannini,"Bakery, Café, Dessert Shop",Via Banchi di Sopra 24,Casa dell'Ambiente,824
Osteria Le Sorelline,Restaurant,Via dei Rossi 76,Casa dell'Ambiente,560
Morbidi,Deli,Via B. di Sopra 73,Casa dell'Ambiente,706
Pizzeria Alle Scalette,Pizzeria,Viale Curtatone 18,Casa dell'Ambiente,731
Bar Pasticceria Nannini,"Dessert Shop, Restaurant",Strada Massetana Romana 44,Frajese,688
Casa del Caffè,"Café, Coffee Shop",Via Massetana Romana 50a,Frajese,823
Panificio Senese,Bakery,Strada Massetana Romana 50,Frajese,840
Enzo Sushi,Restaurant,Via Paolo Frajese 63,Frajese,44
Da Michele,"Pizzeria, Italian Restaurant, Soup Spot",Strada Massetana 64,Frajese,134
Il Tagliere di Lele,"Bar, Gastropub, Pizzeria",Strada Pescaia 129,Frajese,137
Centotre Art Pizza Bar,Pizzeria,Strada di Pescaia 129,Frajese,142
Bar Rigacci,Café,Via di Pescaia 129,Frajese,162
Il Barrino,"Wine Bar, Café, Sandwich Spot",Via Massetana Romana 5,Frajese,358
Il Portico Braceria,"Cafe, Coffee, and Tea House, Pizzeria",Strada di Pescaia 53,Frajese,487
La Taverna di San Giuseppe,"Tuscan Restaurant, Mediterranean Restaurant",Via Giovanni Duprè 132,Mercato,237
La Vecchia Latteria,"Ice Cream Parlor, Vegan and Vegetarian Restaurant",Via San Pietro 10,Mercato,277
Grom,"Ice Cream Parlor, Restaurant",13 Via Banchi di Sopra 11,Mercato,266
Nannini,"Bakery, Café, Dessert Shop",Via Banchi di Sopra 24,Mercato,282
La Bottega Del Caffè,"Bar, Café, Restaurant",Via Banchi di Sotto 39,Mercato,202
Osteria L'Osteria,Italian Restaurant,Via dei Rossi 79,Mercato,488
Osteria Il Ghibellino,"Diner, Italian Restaurant, Mediterranean Restaurant",Via dei Pellegrini 26,Mercato,295
Trattoria Papei,Trattoria,Piazza del Mercato 6,Mercato,41
Meet Life Cafè,"Café, Coffee Shop, Restaurant",Via Pantaneto 90,Mercato,226
Morbidi,Deli,Via B. di Sopra 73,Mercato,422
Pasticceria Scacciapensieri,"Bar, Coffee Shop, Tea Room",Via Nazareno Orlandi 8,Calamandrei,705
La Veranda,Pizzeria,Piazza Calabria 20,Calamandrei,856
Mensa San Miniato Ristorante,Restaurant,Via de Nicola 9,Calamandrei,110
Il Palio Restaurant,Restaurant,Via A. Lombardi 41 Four Points by Sheraton,Calamandrei,448
La Pizzeria di San Miniato,Pizzeria,Piazza Palmiro Togliatti 2,Calamandrei,576
Ristorante Colleverde,Pizzeria,Strada di Scacciapensieri 47,Calamandrei,974
Pizzeria Ristorante Camping Colleverde,Pizzeria,Strada di Scacciapensieri 47,Calamandrei,979
Pizzeria Scacciapensieri,Pizzeria,Via Nazareno Orlandi 21,Calamandrei,614
Al Fiumino,"Wine Bar, Buffet, Gastropub",Via Giovanni Paolo II,Petriccio,672
Pasticceria Sinatti,"Dessert Shop, Restaurant",Via Fiorentina 99,Petriccio,702
Pasticceria Pierini,"Bakery, Cupcake Shop, Pastry Shop",Via Quinto Settano 5,Petriccio,261
Fontebecci,"Pizzeria, Italian Restaurant",Via Fiorentina 133,Petriccio,810
Bar Le Terrazze,"Café, Restaurant",Via Quinto Settano 19,Petriccio,240
Bar Giglio,"Bar, Café, Restaurant",Via Colombini 32,Petriccio,297
Ristorante Pizzeria Il Jolly,"Pizzeria, Italian Restaurant",Via Fiorentina 13,Petriccio,325
Ristorante Il Mestolo,"Italian Restaurant, Seafood Restaurant",Via Fiorentina 81,Petriccio,580
Pizzeria La Strana Coppia,Pizzeria,Via Celso Cittadini 6,Petriccio,501
Pizzeria La Fenice Siena,Pizzeria,Via Fiorentina 88,Petriccio,648
